WELL,DEPTH,GR,RHOB,NPHI,PEF,DT,DTS,RT
15/9-F-11 A,2609.8,77.477,2.296,0.495,7.225,118.033,268.811,0.7
15/9-F-11 A,2609.9,78.429,2.297,0.495,7.101,118.232,272.688,0.704
15/9-F-11 A,2610.0,77.676,2.299,0.492,7.021,117.91,276.389,0.688
15/9-F-11 A,2610.1,75.239,2.303,0.484,6.998,117.746,280.138,0.688
15/9-F-11 A,2610.2,74.651,2.306,0.471,7.01,117.187,283.377,0.705
15/9-F-11 A,2610.3,73.736,2.306,0.449,7.019,116.145,285.991,0.704
15/9-F-11 A,2610.4,71.072,2.302,0.427,6.985,115.441,287.049,0.692
15/9-F-11 A,2610.5,64.63,2.295,0.407,6.872,114.66,287.341,0.672
15/9-F-11 A,2610.6,60.306,2.284,0.392,6.692,113.731,286.678,0.656
15/9-F-11 A,2610.7,56.641,2.269,0.379,6.492,113.803,284.539,0.62
15/9-F-11 A,2610.8,52.42,2.249,0.372,6.333,113.889,282.097,0.591
15/9-F-11 A,2610.9,49.687,2.229,0.369,6.236,113.756,279.474,0.584
15/9-F-11 A,2611.0,45.754,2.212,0.367,6.201,113.468,277.107,0.562
15/9-F-11 A,2611.1,46.434,2.202,0.367,6.207,112.913,275.012,0.535
15/9-F-11 A,2611.2,47.978,2.199,0.363,6.228,111.831,273.417,0.509
15/9-F-11 A,2611.3,48.64,2.199,0.362,6.244,110.869,272.009,0.488
15/9-F-11 A,2611.4,49.873,2.199,0.368,6.253,109.965,270.789,0.5
15/9-F-11 A,2611.5,51.422,2.202,0.373,6.26,109.135,269.957,0.51
15/9-F-11 A,2611.6,54.444,2.21,0.373,6.247,108.558,269.223,0.527
15/9-F-11 A,2611.7,53.76,2.221,0.368,6.205,108.152,268.454,0.542
15/9-F-11 A,2611.8,53.106,2.233,0.369,6.151,108.049,267.424,0.559
15/9-F-11 A,2611.9,53.96,2.24,0.378,6.151,108.255,266.896,0.572
15/9-F-11 A,2612.0,58.392,2.245,0.402,6.259,108.614,266.643,0.579
15/9-F-11 A,2612.1,63.602,2.251,0.431,6.469,109.039,266.622,0.613
15/9-F-11 A,2612.2,65.994,2.259,0.453,6.712,109.741,267.267,0.646
15/9-F-11 A,2612.3,67.711,2.266,0.46,6.91,110.624,268.585,0.67
15/9-F-11 A,2612.4,69.143,2.272,0.45,7.013,111.7,272.177,0.657
15/9-F-11 A,2612.5,69.974,2.276,0.433,7.029,113.383,274.656,0.659
15/9-F-11 A,2612.6,67.368,2.278,0.417,6.997,115.46,276.373,0.644
15/9-F-11 A,2612.7,65.561,2.278,0.41,6.961,117.219,278.184,0.664
15/9-F-11 A,2612.8,67.43,2.279,0.41,6.951,118.49,280.311,0.697
15/9-F-11 A,2612.9,72.941,2.284,0.411,6.971,119.321,282.624,0.723
15/9-F-11 A,2613.0,77.084,2.293,0.41,7.009,118.598,281.005,0.727
15/9-F-11 A,2613.1,80.62,2.304,0.41,7.072,117.079,280.016,0.751
15/9-F-11 A,2613.2,83.013,2.316,0.405,7.183,114.753,279.669,0.8
15/9-F-11 A,2613.3,82.219,2.326,0.39,7.296,111.874,277.849,0.852
15/9-F-11 A,2613.4,79.7,2.337,0.357,7.328,108.728,276.335,0.871
15/9-F-11 A,2613.5,71.057,2.353,0.308,7.209,105.274,275.251,0.997
15/9-F-11 A,2613.6,60.059,2.377,0.257,6.966,102.333,274.722,1.533
15/9-F-11 A,2613.7,50.296,2.406,0.222,6.732,99.042,273.727,2.42
15/9-F-11 A,2613.8,50.038,2.428,0.219,6.629,95.166,271.963,2.988
15/9-F-11 A,2613.9,53.308,2.431,0.234,6.715,93.034,269.602,4.011
15/9-F-11 A,2614.0,53.56,2.416,0.251,7.011,92.239,266.92,3.886
15/9-F-11 A,2614.1,53.418,2.402,0.269,7.529,93.445,263.804,2.499
15/9-F-11 A,2614.2,55.581,2.402,0.279,8.153,97.649,260.694,2.24
15/9-F-11 A,2614.3,55.123,2.419,0.279,8.675,102.531,257.519,2.831
15/9-F-11 A,2614.4,54.192,2.438,0.288,8.843,107.545,254.19,2.951
15/9-F-11 A,2614.5,54.842,2.447,0.297,8.596,109.848,252.089,2.272
15/9-F-11 A,2614.6,58.324,2.445,0.316,8.172,110.829,250.723,1.894
15/9-F-11 A,2614.7,63.245,2.437,0.345,7.866,110.188,250.482,1.441
15/9-F-11 A,2614.8,68.619,2.424,0.355,7.746,108.601,250.375,0.822
